DATE,DAY,TIMESLOT,TIMINGS,MULTIPLEX,MOVIE,CATEGORY,TAG,LOCATION,lon,lat,IMDB,RottenTom,IndieWire
29-October-2018,Monday,5PM,5:30PM - 7:55PM,"PVR JUHU
AUDI 1
276","
Udalazham
Unnikrishnan Avala
India | 119 mins
Introduction | Q&A
IS",India Story,IS,JUHU,72.82425,19.10259,,,
01-November-2018,Thursday,12PM,1:15PM - 2:50PM,"PVR JUHU
AUDI 2
300","
And Breathe Normally
Ísold Uggadóttir
Iceland, Sweden, Belgium | 95 mins
IC",International Competition,IC,JUHU,72.82425,19.10259,7.2,83,
27-October-2018,Saturday,8PM,8:00PM - 10:05PM,"PVR JUHU
AUDI 1
276","One Cut Of The Dead
Shin'ichirô Ueda
Japan | 118 mins
Introduction by Curator
AD",After Dark,AD,JUHU,72.82425,19.10259,,,
29-October-2018,Monday,8PM,8:45PM - 10:45PM,"PVR JUHU
AUDI 1
276","
Light In The Room
Rahul Riji Nair
India | 97 mins
Introduction | Q&A
IG",India Gold,IG,JUHU,72.82425,19.10259,,,
26-October-2018,Friday,2PM,2:00PM - 3:55PM,"PVR JUHU
AUDI 2
300","
Boy Erased
Joel Edgerton
USA | 114 mins
WC",World Cinema,WC,JUHU,72.82425,19.10259,,,
30-October-2018,Tuesday,12PM,2:45PM - 4:25PM,"PVR JUHU
AUDI 1
276","
Lovesick
Ann S. Kim, Priya Giri Desai
USA | 74 mins
Introduction | Q&A
DI",Discovering India,DI,JUHU,72.82425,19.10259,,,
30-October-2018,Tuesday,5PM,5:15PM - 7:30PM,"PVR JUHU
AUDI 1
276","
Roma
Alfonso Cuarón
Mexico | 135 mins
WC",World Cinema,WC,JUHU,72.82425,19.10259,,,
01-November-2018,Thursday,8PM,9:15PM - 10:20PM,"PVR JUHU
AUDI 1
276","
Grass
Hong Sang-soo
South Korea | 66 mins
WC",World Cinema,WC,JUHU,72.82425,19.10259,,,
31-October-2018,Wednesday,12PM,1:15PM - 3:00PM,"PVR JUHU
AUDI 2
300","
Memories Of My Body
Garin Nugroho
Indonesia | 105 mins
WC",World Cinema,WC,JUHU,72.82425,19.10259,,,
29-October-2018,Monday,10AM,NA,"PVR JUHU
AUDI 1
276",No screening,No screening,No screening,JUHU,72.82425,19.10259,,,
26-October-2018,Friday,12PM,NA,"PVR JUHU
AUDI 2
300",No screening,No screening,No screening,JUHU,72.82425,19.10259,,,
29-October-2018,Monday,2PM,2:45PM - 4:40PM,"PVR JUHU
AUDI 1
276","
Chippa
Safdar Rahman
India | 90 mins
Introduction | Q&A
DI",Discovering India,DI,JUHU,72.82425,19.10259,,,
28-October-2018,Sunday,12PM,12:30PM - 1:55PM,"PVR JUHU
AUDI 2
300","
The Image Book
Jean-Luc Godard
Switzerland, France | 84 mins
WC",World Cinema,WC,JUHU,72.82425,19.10259,,,
26-October-2018,Friday,10AM,11:00AM - 12:34PM,"PVR KURLA
AUDI 8
207","
Island Of The Hungry Ghosts
Gabrielle Brady
Germany, UK, Australia | 94 mins
IC",International Competition,IC,KURLA,86.14694,41.75972,,,
31-October-2018,Wednesday,2PM,4:45PM - 6:20PM,"PVR KURLA
AUDI 8
207","
A Land Imagined
Yeo Siew Hua
Singapore, France, Netherlands | 95 mins
WC",World Cinema,WC,KURLA,86.14694,41.75972,6.6,62,3
27-October-2018,Saturday,10AM,11:00AM - 1:10PM,"PVR KURLA
AUDI 8
207","
Long Day's Journey Into Night
Bi Gan
China | 130 mins
WC",World Cinema,WC,KURLA,86.14694,41.75972,,,
29-October-2018,Monday,12PM,1:45PM - 3:50PM,"PVR KURLA
AUDI 8
207","
The Gold-Laden Sheep and the Sacred Mountain
Ridham Janve
India | 97 mins
Introduction | Q&A
IG",India Gold,IG,KURLA,86.14694,41.75972,,,
31-October-2018,Wednesday,12PM,1:30PM - 3:52PM,"PVR KURLA
AUDI 8
207","
Bhumika
Shyam Benegal
India | 142 mins
EX",Excellence in Cinema,EX,KURLA,86.14694,41.75972,,,
30-October-2018,Tuesday,2PM,4:45PM - 6:39PM,"PVR KURLA
AUDI 8
207","
Amaltash
Suhas Desale
India | 114 mins
MT",Marathi Talkies,MT,KURLA,86.14694,41.75972,,,
27-October-2018,Saturday,2PM,4:30PM - 5:40PM,"PVR KURLA
AUDI 8
207","
Royal Stag Barrel Select Large Short Films | World Premieres
India | 70 mins
RS",Royal Stag Barrel Select Large Short Films,RS,KURLA,86.14694,41.75972,,,
30-October-2018,Tuesday,5PM,7:30PM - 9:35PM,"PVR KURLA
AUDI 8
207","
Fahrenheit 11/9
Michael Moore
USA | 125 mins
WC",World Cinema,WC,KURLA,86.14694,41.75972,,,
30-October-2018,Tuesday,10AM,NA,"PVR KURLA
AUDI 8
207",No screening,No screening,No screening,KURLA,86.14694,41.75972,,,
26-October-2018,Friday,5PM,7:15PM - 8:54PM,"PVR KURLA
AUDI 8
207","
Pity
Babis Makridis
Greece, Poland | 99 mins
WC",World Cinema,WC,KURLA,86.14694,41.75972,,,
29-October-2018,Monday,8PM,8:15PM - 10:13PM,"PVR KURLA
AUDI 8
207","
Rajma Chawal
Leena Yadav
India | 118 mins
DI",Discovering India,DI,KURLA,86.14694,41.75972,,,
26-October-2018,Friday,12PM,1:30PM - 3:46PM,"PVR KURLA
AUDI 8
207","
A Paris Education
Jean Paul Civeyrac
France | 136 mins
RDV",Rendezvous with French Cinema,RDV,KURLA,86.14694,41.75972,,60,6.2
29-October-2018,Monday,2PM,5:00PM - 7:13PM,"PVR KURLA
AUDI 8
207","
Bhonsle
Devashish Makhija
India | 133 mins
IS",India Story,IS,KURLA,86.14694,41.75972,,,
27-October-2018,Saturday,5PM,6:45PM - 8:16PM,"PVR KURLA
AUDI 8
207","
Mug
Małgorzata Szumowska
Poland | 91 mins
WC",World Cinema,WC,KURLA,86.14694,41.75972,,,
01-November-2018,Thursday,10AM,11:00AM - 12:32PM,"PVR KURLA
AUDI 8
207","
Thunder Road
Jim Cummings
USA | 92 mins
WC",World Cinema,WC,KURLA,86.14694,41.75972,8.7,95,
01-November-2018,Thursday,12PM,1:30PM - 3:45PM,"PVR KURLA
AUDI 8
207","
English Vinglish
Gauri Shinde
India | 134 mins
TR (IND)",Tribute International,TR (IND),KURLA,86.14694,41.75972,,,
28-October-2018,Sunday,8PM,8:00PM - 9:53PM,"PVR KURLA
AUDI 8
207","
First Reformed
Paul Schrader
USA | 113 mins
WC",World Cinema,WC,KURLA,86.14694,41.75972,,,
01-November-2018,Thursday,5PM,7:30PM - 9:20PM,"PVR KURLA
AUDI 8
207","
High Life
Claire Denis
UK, France, Germany | 110 mins
RDV",Rendezvous with French Cinema,RDV,KURLA,86.14694,41.75972,,,
31-October-2018,Wednesday,5PM,7:30PM - 9:08PM,"PVR KURLA
AUDI 8
207","
Terrified | 89 mins
preceded by
A/S/L | 9 mins
AD",After Dark,AD,KURLA,86.14694,41.75972,,,
28-October-2018,Sunday,10AM,11:30AM - 1:20PM,"PVR KURLA
AUDI 8
207","
Too Late To Die Young
Dominga Sotomayor
Chile, Brazil, Argentina | 110 minutes
WC",World Cinema,WC,KURLA,86.14694,41.75972,6.7,,3.5
29-October-2018,Monday,12PM,1:45PM - 3:50PM,"PVR KURLA
AUDI 8
207","
Bardo
Bhimrao Mude
India | 125 mins
MT",Marathi Talkies,MT,KURLA,86.14694,41.75972,,,
26-October-2018,Friday,2PM,4:45PM - 6:19PM,"PVR KURLA
AUDI 8
207","
Reza
Alireza Motamedi
Iran | 94 mins
IC",International Competition,IC,KURLA,86.14694,41.75972,5.4,83,
28-October-2018,Sunday,2PM,2:30PM - 4:13PM,"PVR KURLA
AUDI 8
207","
Balekempa
Ere Gowda
India | 103 mins
IG",India Gold,IG,KURLA,86.14694,41.75972,,,
27-October-2018,Saturday,12PM,2:00PM - 3:23PM,"PVR KURLA
AUDI 8
207","Amal
Mohamed Siam 
Egypt, Lebanon, Germany | 83 mins
WC",World Cinema,WC,KURLA,86.14694,41.75972,,,
28-October-2018,Sunday,12PM,NA,"PVR KURLA
AUDI 8
207",No screening,No screening,No screening,KURLA,86.14694,41.75972,,,
29-October-2018,Monday,5PM,NA,"PVR KURLA
AUDI 8
207",No screening,No screening,No screening,KURLA,86.14694,41.75972,,,
01-November-2018,Thursday,2PM,4:45PM - 6:22PM,"PVR KURLA
AUDI 8
207","
Soni
Ivan Ayr
India | 97 mins
IG",India Gold,IG,KURLA,86.14694,41.75972,,,
31-October-2018,Wednesday,8PM,NA,"PVR KURLA
AUDI 8
207",No screening,No screening,No screening,KURLA,86.14694,41.75972,,,
27-October-2018,Saturday,8PM,NA,"PVR KURLA
AUDI 8
207",No screening,No screening,No screening,KURLA,86.14694,41.75972,,,
28-October-2018,Sunday,5PM,5:15PM - 6:48PM,"PVR KURLA
AUDI 8
207","
Photo-Prem
Aditya Rathi
India | 93 mins
MT",Marathi Talkies,MT,KURLA,86.14694,41.75972,,,
26-October-2018,Friday,8PM,NA,"PVR KURLA
AUDI 8
207",No screening,No screening,No screening,KURLA,86.14694,41.75972,,,
29-October-2018,Monday,12PM,1:45PM - 3:50PM,"PVR KURLA
AUDI 8
207","
Birds Of Passage
Cristina Gallego, Ciro Guerra
Colombia, France, Mexico, Denmark | 125 mins
WC",World Cinema,WC,KURLA,86.14694,41.75972,8.1,91,
31-October-2018,Wednesday,10AM,10:30AM - 12:33PM,"PVR KURLA
AUDI 8
207","
MA•AMA
Dominic Sangma
India | 123 mins
IC",International Competition,IC,KURLA,86.14694,41.75972,,,
01-November-2018,Thursday,8PM,NA,"PVR KURLA
AUDI 8
207",No screening,No screening,No screening,KURLA,86.14694,41.75972,,,
29-October-2018,Monday,10AM,11:00AM - 12:38PM,"PVR KURLA
AUDI 8
207","
Open Seas
Michiel van Erp
Netherlands | 98 mins
WC",World Cinema,WC,KURLA,86.14694,41.75972,7.4,,
30-October-2018,Tuesday,8PM,NA,"PVR KURLA
AUDI 8
207",No screening,No screening,No screening,KURLA,86.14694,41.75972,,,
28-October-2018,Sunday,10AM,11:30AM - 1:20PM,"PVR KURLA
AUDI 8
207","
Carmine Street Guitars
Ron Mann
Canada | 80 mins
Introduction | Q&A
WC",World Cinema,WC,KURLA,86.14694,41.75972,8,,
30-October-2018,Tuesday,12PM,2:00PM - 4:02PM,"PVR KURLA
AUDI 8
207","
Shakespeare Wallah
James Ivory 
USA | 122 mins
RC",Restored Classics,RC,KURLA,86.14694,41.75972,7,88,
28-October-2018,Sunday,2PM,3:00PM - 4:00PM,"MATTERDEN CARNIVAL CINEMAS
373","A Field Guide to Being a 12-year Old Girl | Tilda Cobham - Hervey | Australia | 20 mins

Listen | Astrid Bussink | Netherlands | 15 mins

Elen | Andy Newbery | Wales| 15 mins

Introduction and Discussion with Curator

HT | Age Eligibility: 10+",Half Ticket,HT,LOWER PAREL,72.83333,19,,,
27-October-2018,Saturday,12PM,1:30PM - 3:30PM,"MATTERDEN CARNIVAL CINEMAS

373","Tesoros
Maria Novaro | Mexico | 95mins 

Introduction and Discussion

HT | Age Eligibility:11+",Half Ticket,HT,LOWER PAREL,72.83333,19,7.2,,
28-October-2018,Sunday,12PM,12:30PM - 2:30PM,"MATTERDEN CARNIVAL CINEMAS
373","Ponyo
Hayao Miyazaki | Japan | 101 mins 

Introduction and Discussion

HT | Age Eligibility: 8+",Half Ticket,HT,LOWER PAREL,72.83333,19,7.7,91,
28-October-2018,Sunday,10AM,10:00AM - 12:00PM,"MATTERDEN CARNIVAL CINEMAS
373","Captain Morten and the Spider Queen | Kasper Jancis | Estonia | 79 mins 

Belly Flop | Jeremy Collins & Kelly Dillon | South Africa | 5 mins

Introduction and Discussion

HT | Age Eligibility: 5+",Half Ticket,HT,LOWER PAREL,72.83333,19,,,
27-October-2018,Saturday,2PM,4:00PM - 6:00PM,"MATTERDEN CARNIVAL CINEMAS

373","Chuskit
Priya Ramasubban | India | 90 mins 

Introduction by Curator
Discussion with Filmmaker Priya Ramasubban

HT | Age Eligibility: 8+",Half Ticket,HT,LOWER PAREL,72.83333,19,,,
28-October-2018,Sunday,8PM,7:00PM - 8:30PM,"MATTERDEN CARNIVAL CINEMAS
373","Funan | Dennis Do | France| 84 mins

Antouni | Alik Tamar | Armenia | 11 mins 

Introduction and Discussion with Curator

HT | Age Eligibility: 13+",Half Ticket,HT,LOWER PAREL,72.83333,19,,,
27-October-2018,Saturday,5PM,6:30PM - 7:45PM,"MATTERDEN CARNIVAL CINEMAS

373","My Best Friend's Shoes (Rammat Gammat)
Ajitpal Singh | India | 18 mins

Hello Salaam
Kim Brand | Netherlands | 15 mins

The Lost Thing
Andrew Ruhemann & Shaun Tan | Australia | 15 mins

Introduction by Curator
Discussion with filmmaker Ajitpal Singh 

HT | Age Eligibility: 8+",Half Ticket,HT,LOWER PAREL,72.83333,19,,,
27-October-2018,Saturday,10AM,11:00AM - 1:00PM,"MATTERDEN CARNIVAL CINEMAS

373","Supa Modo
Likarion Wanaina | Kenya | 74 mins 

Introduction and Discussion with Curator

HT | Age Eligibility: 5+",Half Ticket,HT,LOWER PAREL,72.83333,19,8.2,97,
28-October-2018,Sunday,5PM,4:30PM - 6:30PM,"MATTERDEN CARNIVAL CINEMAS
373","A Wrinkle in Time | Ava DuVernay | USA | 109 mins 

Introduction and Discussion

HT | Age Eligibility: 10+",Half Ticket,HT,LOWER PAREL,72.83333,19,4.2,41,
27-October-2018,Saturday,8PM,NA,"MATTERDEN CARNIVAL CINEMAS

373",No screening,No screening,No screening,LOWER PAREL,72.83333,19,,,
27-October-2018,Saturday,10AM,11:00AM - 1:00PM,"MATTERDEN CARNIVAL CINEMAS

373","
Reza
Alireza Motamedi
Iran | 94 mins
Introduction | Q&A
IC",International Competition,IC,LOWER PAREL,72.83333,19,5.4,83,
31-October-2018,Wednesday,5PM,5:30PM - 7:00PM,"LIBERTY CARNIVAL CINEMAS
1115","MASTERCLASS
Filmmaker Darren Aronofsky
in conversation with
Anupama Chopra",Sessions,S,MARINE LINES,72.82639,18.94222,,,
27-October-2018,Saturday,8PM,8:00PM - 9:41PM,"LIBERTY CARNIVAL CINEMAS
1115","
Transit
Christian Petzold
Germany, France | 101 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,6.9,91,
29-October-2018,Monday,12PM,1:45PM - 3:50PM,"LIBERTY CARNIVAL CINEMAS
1115","
Bardo
Bhimrao Mude
India | 125 mins
MT",Marathi Talkies,MT,MARINE LINES,72.82639,18.94222,,,
31-October-2018,Wednesday,2PM,NA,"LIBERTY CARNIVAL CINEMAS
1115",No screening,No screening,No screening,MARINE LINES,72.82639,18.94222,,,
31-October-2018,Wednesday,10AM,11:30AM - 1:25PM,"LIBERTY CARNIVAL CINEMAS
1115","
Don't Worry He Won't Get Far On Foot
Gus Van Sant
USA | 115 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
29-October-2018,Monday,5PM,7:00PM - 8:39PM,"LIBERTY CARNIVAL CINEMAS
1115","
Pity
Babis Makridis
Greece, Poland | 99 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
26-October-2018,Friday,10AM,11:30AM - 1:34PM,"LIBERTY CARNIVAL CINEMAS
1115","
Champions
Javier Fesser
Spain, Mexico | 124 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
29-October-2018,Monday,12PM,1:45PM - 3:50PM,"LIBERTY CARNIVAL CINEMAS
1115","
The Gold-Laden Sheep and the Sacred Mountain
Ridham Janve
India | 97 mins
Introduction | Q&A
IG",India Gold,IG,MARINE LINES,72.82639,18.94222,,,
26-October-2018,Friday,2PM,2:15PM - 3:35PM,"LIBERTY CARNIVAL CINEMAS
1115","
Kusama - Infinity
Heather Lenz
USA | 80 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
26-October-2018,Friday,8PM,8:00PM - 9:50PM,"LIBERTY CARNIVAL CINEMAS
1115","
High Life
Claire Denis
UK, France, Germany | 110 mins
RDV",Rendezvous with French Cinema,RDV,MARINE LINES,72.82639,18.94222,,,
01-November-2018,Thursday,2PM,3:45PM -6:00PM,"LIBERTY CARNIVAL CINEMAS
1115","
Ash Is Purest White
Jia Zhangke
China | 136 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,6.9,79,
01-November-2018,Thursday,10AM,10:00AM - 11:45AM,"LIBERTY CARNIVAL CINEMAS
1115","
Memories Of My Body
Garin Nugroho
Indonesia | 105 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
27-October-2018,Saturday,2PM,2:15PM - 4:20PM,"LIBERTY CARNIVAL CINEMAS
1115","
Fahrenheit 11/9
Michael Moore
USA | 125 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
01-November-2018,Thursday,8PM,NA,"LIBERTY CARNIVAL CINEMAS
1115",No screening,No screening,No screening,MARINE LINES,72.82639,18.94222,,,
28-October-2018,Sunday,10AM,10:00AM - 11:40AM,"LIBERTY CARNIVAL CINEMAS
1115","
Fugue
Agnieszka Smoczyńska
Poland | 100 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
28-October-2018,Sunday,2PM,2:45PM - 4:16PM,"LIBERTY CARNIVAL CINEMAS
1115","
Mug
Małgorzata Szumowska
Poland | 91 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
28-October-2018,Sunday,8PM,8:00PM - 11:08PM,"LIBERTY CARNIVAL CINEMAS
1115","The Wild Pear Tree
Nuri Bilge Ceylan
Turkey, France, Germany | 188 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
30-October-2018,Tuesday,2PM,4:45PM - 6:25PM,"LIBERTY CARNIVAL CINEMAS
1115","
Woman At War
Benedikt Erlingsson
Iceland, France, Ukraine | 100 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
31-October-2018,Wednesday,8PM,NA,"LIBERTY CARNIVAL CINEMAS
1115",No screening,No screening,No screening,MARINE LINES,72.82639,18.94222,,,
30-October-2018,Tuesday,8PM,NA,"LIBERTY CARNIVAL CINEMAS
1115",No screening,No screening,No screening,MARINE LINES,72.82639,18.94222,,,
30-October-2018,Tuesday,5PM,7:30PM - 9:30PM,"LIBERTY CARNIVAL CINEMAS
1115","
Soni
Ivan Ayr
India | 97 mins
Introduction | Q&A
IG",India Gold,IG,MARINE LINES,72.82639,18.94222,,,
26-October-2018,Friday,5PM,4:15PM - 7:08PM,"LIBERTY CARNIVAL CINEMAS
1115","
Our Time
Carlos Reygadas
Mexico, France, Germany | 173 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
01-November-2018,Thursday,12PM,12:30PM - 2:25PM,"LIBERTY CARNIVAL CINEMAS
1115","
First Reformed
Paul Schrader
USA | 113 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
26-October-2018,Friday,12PM,NA,"LIBERTY CARNIVAL CINEMAS
1115",No screening,No screening,No screening,MARINE LINES,72.82639,18.94222,,,
28-October-2018,Sunday,12PM,12:30PM - 2:00PM,"LIBERTY CARNIVAL CINEMAS
1115","
A Tramway In Jerusalem
Amos Gitai
Israel, France | 90 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,6.2,,
27-October-2018,Saturday,12PM,NA,"LIBERTY CARNIVAL CINEMAS
1115",No screening,No screening,No screening,MARINE LINES,72.82639,18.94222,,,
29-October-2018,Monday,10AM,11:00AM - 12:56PM,"LIBERTY CARNIVAL CINEMAS
1115","
Shadow
Zhang Yimou
China | 116 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
27-October-2018,Saturday,10AM,11:30AM - 1:16PM,"LIBERTY CARNIVAL CINEMAS
1115","
Generation Wealth
Lauren Greenfield
USA | 106 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
29-October-2018,Monday,2PM,4:45PM - 6:09PM,"LIBERTY CARNIVAL CINEMAS
1115","
The Image Book
Jean-Luc Godard
Switzerland, France | 84 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
28-October-2018,Sunday,5PM,5:00PM - 6:51PM,"LIBERTY CARNIVAL CINEMAS
1115","
Colette
Wash Westmoreland
USA, UK, Hungary | 111 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
29-October-2018,Monday,8PM,NA,"LIBERTY CARNIVAL CINEMAS
1115",No screening,No screening,No screening,MARINE LINES,72.82639,18.94222,,,
31-October-2018,Wednesday,12PM,NA,"LIBERTY CARNIVAL CINEMAS
1115",No screening,No screening,No screening,MARINE LINES,72.82639,18.94222,,,
27-October-2018,Saturday,5PM,5:30PM - 7:05PM,"LIBERTY CARNIVAL CINEMAS
1115","
MATANGI/MAYA/M.I.A.
Steve Loveridge
USA, UK, Sri Lanka | 95 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,,,
29-October-2018,Monday,12PM,1:45PM - 3:50PM,"LIBERTY CARNIVAL CINEMAS
1115","
Birds Of Passage
Cristina Gallego, Ciro Guerra
Colombia, France, Mexico, Denmark | 125 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,8.1,91,
30-October-2018,Tuesday,10AM,11:00AM - 12:36PM,"LIBERTY CARNIVAL CINEMAS
1115","
Hotel By The River
Hong Sang-soo
South Korea | 96 mins
WC",World Cinema,WC,MARINE LINES,72.82639,18.94222,7.1,92,
30-October-2018,Tuesday,12PM,1:30PM - 3:35PM,"LIBERTY CARNIVAL CINEMAS
1115","
Touch Me Not
Adina Pintilie
Romania | 125 mins
IC",International Competition,IC,MARINE LINES,72.82639,18.94222,,,
01-November-2018,Thursday,5PM,7:30PM - 9:10PM,"LIBERTY CARNIVAL CINEMAS
1115","
Knife + Heart
Yann Gonzales
France, Switzerland, Mexico | 102 mins
RDV",Rendezvous with French Cinema,RDV,MARINE LINES,72.82639,18.94222,,,
29-October-2018,Monday,12PM,1:00PM - 2:36PM,"PVR MULUND
AUDI 6
318","
Three Identical Strangers
Tim Wardle
USA, UK | 96 mins
WC",World Cinema,WC,MULUND,72.96082,19.16486,,,
01-November-2018,Thursday,5PM,4:45PM - 6:17PM,"PVR MULUND
AUDI 6
318","
The Price Of Free
Derek Doneen
USA | 92 mins
WC",World Cinema,WC,MULUND,72.96082,19.16486,,,
29-October-2018,Monday,10AM,NA,"PVR MULUND
AUDI 6
318",No screening,No screening,No screening,MULUND,72.96082,19.16486,,,
28-October-2018,Sunday,12PM,1:30PM - 2:44PM,"PVR MULUND
AUDI 6
318","
Supa Modo
Likarion Wainaina
Germany, Kenya | 74 mins
WC",World Cinema,WC,MULUND,72.96082,19.16486,,,
29-October-2018,Monday,2PM,3:30PM - 5:00PM,"PVR MULUND
AUDI 6
318","
Thunder Road
Jim Cummings
USA | 92 mins
WC",World Cinema,WC,MULUND,72.96082,19.16486,8.7,95,
28-October-2018,Sunday,10AM,NA,"PVR MULUND
AUDI 6
318",No screening,No screening,No screening,MULUND,72.96082,19.16486,,,
30-October-2018,Tuesday,5PM,7:15PM - 9:03PM,"PVR MULUND
AUDI 6
318","
Border
Ali Abbasi
Sweden, Denmark | 108 mins
WC",World Cinema,WC,MULUND,72.96082,19.16486,7.2,78,3.5
28-October-2018,Sunday,8PM,NA,"PVR MULUND
AUDI 6
318",No screening,No screening,No screening,MULUND,72.96082,19.16486,,,
26-October-2018,Friday,12PM,12:30PM - 2:30PM,"PVR MULUND
AUDI 6
318","
In My Room
Ulrich Köhler
Germany, Italy | 120 mins
WC",World Cinema,WC,MULUND,72.96082,19.16486,,,
28-October-2018,Sunday,5PM,6:15PM - 8:15PM,"PVR MULUND
AUDI 6
318","
Rajma Chawal
Leena Yadav
India | 118 mins
DI",Discovering India,DI,MULUND,72.96082,19.16486,,,
31-October-2018,Wednesday,8PM,NA,"PVR MULUND
AUDI 6
318",No screening,No screening,No screening,MULUND,72.96082,19.16486,,,
26-October-2018,Friday,8PM,NA,"PVR MULUND
AUDI 6
318",No screening,No screening,No screening,MULUND,72.96082,19.16486,,,
30-October-2018,Tuesday,2PM,4:15PM - 6:11PM,"PVR MULUND
AUDI 6
318","
Dhappa
Nipun Dharmadhikari
India | 116 mins
MT",Marathi Talkies,MT,MULUND,72.96082,19.16486,,,
27-October-2018,Saturday,2PM,5:15PM - 6:30PM,"PVR MULUND
AUDI 6
318","
Dimensions Mumbai
16 Short Films | 75 mins
DM",Dimensions Mumbai,DM,MULUND,72.96082,19.16486,,,
01-November-2018,Thursday,2PM,2:00PM - 4:06PM,"PVR MULUND
AUDI 6
318","
A Paris Education
Jean Paul Civeyrac
France | 136 mins
RDV",Rendezvous with French Cinema,RDV,MULUND,72.96082,19.16486,,60,6.2
26-October-2018,Friday,5PM,7:00PM - 8:42PM,"PVR MULUND
AUDI 6
318","
Knife + Heart
Yann Gonzales
France, Switzerland, Mexico | 102 mins
RDV",Rendezvous with French Cinema,RDV,MULUND,72.96082,19.16486,,,
30-October-2018,Tuesday,12PM,2:00PM - 3:10PM,"PVR MULUND
AUDI 6
318","
BUDDHA.mov
Kabir Mehta
India | 70 mins
SP",Spotlight,SP,MULUND,72.96082,19.16486,,,
27-October-2018,Saturday,10AM,NA,"PVR MULUND
AUDI 6
318",No screening,No screening,No screening,MULUND,72.96082,19.16486,,,
31-October-2018,Wednesday,2PM,4:30PM - 6:20PM,"PVR MULUND
AUDI 6
318","
Hamid
Aijaz Khan
India | 108 mins
IS",India Story,IS,MULUND,72.96082,19.16486,,,
01-November-2018,Thursday,10AM,NA,"PVR MULUND
AUDI 6
318",No screening,No screening,No screening,MULUND,72.96082,19.16486,,,
31-October-2018,Wednesday,12PM,1:30PM - 3:35PM,"PVR MULUND
AUDI 6
318","
Champions
Javier Fesser
Spain, Mexico | 124 mins
WC",World Cinema,WC,MULUND,72.96082,19.16486,,,
29-October-2018,Monday,5PM,6:00PM - 6:47PM,"PVR MULUND
AUDI 6
318","Anthology Of Shorts
A Monsoon Date | An Essay Of The Rain
Tanuja Chandra | Nagraj Manjule
India | 47 mins
SP",Spotlight,SP,MULUND,72.96082,19.16486,,,
31-October-2018,Wednesday,5PM,7:30PM - 9:30PM,"PVR MULUND
AUDI 6
318","
One Cut Of The Dead
Shin'ichirô Ueda
Japan | 118 mins
AD",After Dark,AD,MULUND,72.96082,19.16486,,,
31-October-2018,Wednesday,10AM,11:00AM - 12:46PM,"PVR MULUND
AUDI 6
318","
Fortuna
Germinal Roaux
Switzerland, Belgium | 106 mins
RDV",Rendezvous with French Cinema,RDV,MULUND,72.96082,19.16486,,,
30-October-2018,Tuesday,10AM,11:30AM - 1:09PM,"PVR MULUND
AUDI 6
318","
Freedom Fields
Naziha Arebi
Libya, UK, Netherlands | 99 mins
WC",World Cinema,WC,MULUND,72.96082,19.16486,,,
28-October-2018,Sunday,2PM,3:45PM - 5:27PM,"PVR MULUND
AUDI 6
318","
The Harvesters
Etienne Kallos
France, Greece, Poland, South Africa | 102 mins
IC",International Competition,IC,MULUND,72.96082,19.16486,,,
27-October-2018,Saturday,8PM,NA,"PVR MULUND
AUDI 6
318",No screening,No screening,No screening,MULUND,72.96082,19.16486,,,
27-October-2018,Saturday,12PM,2:00PM - 4:10PM,"PVR MULUND
AUDI 6
318","
The Summer House
Valeria Bruni-Tedeschi
France, Italy | 127 mins
RDV",Rendezvous with French Cinema,RDV,MULUND,72.96082,19.16486,,,
26-October-2018,Friday,10AM,NA,"PVR MULUND
AUDI 6
318",No screening,No screening,No screening,MULUND,72.96082,19.16486,,,
01-November-2018,Thursday,8PM,7:00PM - 8:55PM,"PVR MULUND
AUDI 6
318","
Don't Worry He Won't Get Far On Foot
Gus Van Sant
USA | 115 mins
WC",World Cinema,WC,MULUND,72.96082,19.16486,,,
